id,set,descr
434,10_ 66_ 29,numbers that end with 0_ 6 and 9
228,83_ 11,odd numbers between 11 and 83
228,33,numbers that are odd and go up or down same digits_ like 11_ 55.
228,33_ 9,odd numbers
228,47_ 2_ 74,numbers between 2 and 74
228,83_ 38_ 58_ 68,all numbers containing the number 8
539,10_ 55_ 58,sequential even_ odd numbers
539,98_ 83,descending even_ odd numbers
539,11_ 26_ 74_ 2,numbers between 2-100
539,7,odd numbers
539,8_ 16,even numbers
113,33_ 3,Numbers that end in 3
113,43_ 4_ 91_ 9,Numbers that start with ewither 4 or 9
113,8_ 64,Numbers divisible by 8
113,75_ 4,Numbers divisible by 4 or 25
113,53_ 47_ 41,Numbers between 40 and 59
573,65_ 47_ 55_ 13,Odd numbers between 10 and 70
573,27_ 37_ 67,Numbers ending in 7
573,76_ 44_ 8_ 48,Numbers divisible by 4
573,25,Numbers divisible by 5
573,72,Even numbers between 70 and 100
530,75_ 4,last number counting backwards from 5_ 4_ 
530,59_ 49_ 99_ 69,numbers ending in 9
530,4_ 64_ 25_ 81,numbers between 4 and 81
530,93_ 43_ 83_ 53,numbers ending in 3
530,15_ 39_ 35,odd numbers ending in 5 or 9
146,81_ 9,squares_ square roots_ cubes_ cube roots
146,66_ 78,even
146,76_ 44_ 8_ 48,even
146,22_ 96,even
146,25,multiples of 5 
273,43_ 4_ 91_ 9,Odd Numbers?
273,3,Unsure
273,15_ 39_ 35,Increments of 4
273,84_ 56,Multiples Of 7
273,100,Any Number
198,62,even number
198,28_ 2,even numbers
198,67,odd numbers
198,55,odd numbers
198,25_ 17,even numbers
158,62,even numbers
158,22_ 62_ 26_ 82,even numbers. i may have thought between 20 and 80-something but i don''t remember.
158,55,ending in 5
158,50_ 2,even numbers
158,97_ 77_ 87_ 47,ending in 7
568,1,Odd numbers
568,22_ 62_ 26_ 82,Even numbers
568,3_ 87,Odd numbers
568,50_ 2,Even numbers
568,68_ 20_ 35_ 92,even numbers with numbers also using 3 and 5.
148,64,Even numbers_ multiples of 8
148,52_ 22_ 94,Even numbers
148,55_ 60_ 25_ 100,Numbers divisible by 5
148,38_ 18_ 3,Numbers between 38-0
148,14,Even numbers_ numbers divisible by 7
61,44,divisible by 11
61,13,prime numbers
61,22_ 96,even numbers
61,65_ 47_ 55_ 13,odd numbers
61,66_ 78,divisable by 6
255,51,any number
255,16_ 82_ 28,even numbers with 8 or 6
255,14,any number
255,55_ 60_ 25_ 100,divisible by 5
255,38_ 18_ 3,3 or 8 in number
586,4,even number
586,2_ 8,even numbers
586,55_ 60_ 25_ 100,numbers divisible by 5
586,98_ 24_ 30_ 3,any number between 3 and 98
586,59_ 3,odd numbers
414,20_ 8_ 84_ 100,numbers between 8 and 100
414,76_ 44_ 8_ 48,numbers between 8 and 76
414,5_ 65,numbers between 5 and 65
414,43,odd numbers
414,44,even numbers 
156,55,5
156,28_ 2,2
156,18_ 45_ 72,18-72
156,81_ 25,Odd
156,22_ 62_ 26_ 82,2_ 6_ 8
223,55_ 60_ 25_ 100,"numbers with a ""5"" or ""0"""
223,24_ 35,numbers that add or subtract 11
223,23_ 62_ 98,number higher than 98
223,14,"number that a ""1"" - a ""4"" or numbers that double or triple_ etc._ the original"
223,64,any number divisable by 2
239,25_ 17,odd numbers
239,50_ 2,factors of 2 or 5 or 10
239,97_ 77_ 87_ 47,numbers ending in 7
239,28_ 2,factors of 2 and 7
239,62,even numbers
366,5_ 65,multiples of 5
366,10_ 74_ 22,even numbers?
366,66_ 78,even numbers?
366,65_ 47_ 55_ 13,odd numbers?
366,81_ 9,multiples of 9
193,59_ 49_ 99_ 69,numbers that end in 9
193,91,odd numbers
193,75_ 4,all numbers
193,49,odd numbers
193,3,numbers that end in 3
279,72,Numbers ending in a 2
279,44,Numbers with duplicates 55 66 etc.
279,76_ 44_ 8_ 48,Even numbers
279,27_ 37_ 67,Numbers ending in 7
279,14_ 47,Im not sure on this one
309,25,Numbers countable by 5 
309,66_ 78,Even numbers
309,81_ 9,odd numbers or numbers adding up to nine. 
309,20_ 8_ 84_ 100,Even numbers divisible by 2.
309,27_ 37_ 67,Numbers ascending with sevens as the second numeral.
404,25,numbers ending in 5
404,65_ 47_ 55_ 13,odd numbers
404,20_ 8_ 84_ 100,even numbers
404,27_ 37_ 67,numbers ending in 7
404,10_ 74_ 22,even numbers
462,44,even numbers between 44 and 2
462,25,odd numbers between 25 and 5
462,22_ 96,even umbers between 96 and 4
462,43,odd numbers between 43 and 3
462,27_ 37_ 67,odd numbers between 67 ad 7
556,66_ 78,numbers between 66 and 78
556,20_ 8_ 84_ 100,even numbers
556,5_ 65,numbers ending with 5
556,65_ 47_ 55_ 13,odd numbers
556,43,numbers that are 43
475,55,double numbers_ like 33 or 44
475,97_ 77_ 87_ 47,numbers ending with 7
475,67,odd numbers
475,81_ 25,odd numbers
475,28_ 2,numbers with 2 in them
536,97_ 77_ 87_ 47,ends with 7
536,67,??
536,68_ 20_ 35_ 92,between 20 and 92
536,62,??
536,1,??
507,84_ 56,Even Numbers_ descending order
507,33_ 3,Only numbers with 3
507,43_ 4_ 91_ 9,Odd numbers
507,3,No way to know_ so I just accepted all
507,59_ 49_ 99_ 69,Numbers that end in 9
381,18_ 45_ 72,acending numbers
381,55,odd numbers
381,28_ 2,even numbers
381,81_ 25,odd numbers
381,68_ 20_ 35_ 92,random numbers
336,81_ 9,multiples of 9
336,14_ 47,too little information; no discernable pattern yet present
336,72,too little information; no discernable pattern yet present
336,27_ 37_ 67,numbers ending in 7
336,65_ 47_ 55_ 13,starting at 5_ going up two number to 7_ going back down to 5_ going down two numbers to 3_ going back up to 5
503,8_ 64,even numbers
503,49,divisible by 7
503,33_ 3,divisible by 3
503,73_ 33,value decreases by 40
503,43_ 4_ 91_ 9,numbers between 4 and 91
293,97_ 77_ 87_ 47,second digit is 7
293,28_ 2,divisible by 2
293,50_ 2,divisible by 2
293,1,single digit
293,26,both digits even
380,75_ 4,Numbers between 0 and 100
380,59_ 49_ 99_ 69,Numbers ending in 9
380,43_ 4_ 91_ 9,Numbers under 100
380,91,All numbers that are 91
380,93_ 43_ 83_ 53,Numbers ending in 3
217,62,even numbers
217,28_ 2,even numbers
217,1,numbers between 1 and 50
217,55,numbers between 55 and 100
217,26,even numbers
334,66_ 78,even numbers
334,43,numbers that end in 3
334,13,prime numbers
334,25,multiples of 5
334,22_ 96,even numbers
102,55,numbers between 35 and 45
102,3_ 87,numbers between 35 and 45
102,50_ 2,even numbers
102,70_ 10_ 88_ 40,even numbers
102,67,numbers between 35 and 45
376,43_ 4_ 91_ 9,between 4 & 91
376,53_ 47_ 41,prime numbers
376,75_ 4,between 4 & 75
376,59_ 49_ 99_ 69,ends in 9
376,4_ 64_ 25_ 81,perfect squares
513,44,even numbers
513,72,numbers divisible by 9
513,27_ 37_ 67,numbers ending in 7
513,43,odd numbers
513,22_ 96,even numbers between 22 and 96
260,1,odd numbers
260,22_ 62_ 26_ 82,even numbers
260,50_ 2,even numbers
260,25_ 17,odd numbers
260,26,even numbers
5,33_ 3,numbers containing 3
5,3,odd numbers
5,4_ 64_ 25_ 81,Don''t know
5,91,odd numbers
5,75_ 4,numbers in between 75 and 4
269,66_ 78,even
269,72,multiple of 9
269,27_ 37_ 67,"end in ""7"""
269,43,odd
269,44,even
463,93_ 43_ 83_ 53,numbers ending in 3
463,59_ 49_ 99_ 69,numbers ending in 9
463,91,odd numbers
463,75_ 4,even numbers below 25_ odd above 25
463,15_ 39_ 35,numbers ending in 5 and 9
603,22_ 62_ 26_ 82,2 and 6 
603,55,Double Digits
603,18_ 45_ 72,Between 18 and 72
603,50_ 2,Even Numbers
603,26,2 and 6
202,3,multiples of 3
202,43_ 4_ 91_ 9,something above 91
202,75_ 4,number less than 4
202,93_ 43_ 83_ 53,73_ 10 less than 83
202,49,numbers between 1 and 100
343,65_ 47_ 55_ 13,odd numbers
343,76_ 44_ 8_ 48,even numbers
343,66_ 78,between 66 and 79
343,81_ 9,odd numbers
343,20_ 8_ 84_ 100,even numbers
247,49,sequential starting with 50 
247,4_ 64_ 25_ 81,squares (4 = 2x2_ 81 = 9x9)
247,75_ 4,random
247,53_ 47_ 41,odd numbers_ decremented by 6 (53>47>41>35>29)
247,73_ 33,decrements by 40 
532,59_ 3,numbers with 5_ 9_ or 3 or a combination of them
532,51,numbers with either 1 or 5 in them
532,16_ 82_ 28,between 16 and 82
532,14,even
532,64,even
574,44,Even numbers
574,25,Multiples of 5
574,43,Odd numbers
574,66_ 78,Even numbers
574,27_ 37_ 67,Numbers ending in 7
278,20_ 8_ 84_ 100,even numbers
278,76_ 44_ 8_ 48,even numbers
278,44,even numbers
278,27_ 37_ 67,numbers with 7
278,81_ 9,multiply by 9
497,59_ 3,odd numbers
497,98_ 24_ 30_ 3,numbers between 1 and 100
497,51,odd numbers
497,24_ 35,multiples have a difference of 2
497,64,even numbers
488,3,multiples of 2
488,49,multiples of 7
488,93_ 43_ 83_ 53,ends in 3
488,73_ 33,ends in 3
488,75_ 4,not sure
365,100,Perfect squares or multiples of 5 or 10 or 25 or numbers with a perfect square as a multiple
365,3,odd numbers or primes
365,33_ 3,multiples of 3
365,49,perfect squares
365,59_ 49_ 99_ 69,numbers with 9 as the singles digit
64,11,odd
64,23_ 62_ 98,Odd_ then even_ even
64,14,Even number
64,24_ 35,Even then odd
64,4,even
47,62,Evens
47,18_ 45_ 72,Odds
47,3_ 87,Between 3 and 87
47,50_ 2,Evens between 2 and 50
47,26,Evens
533,76_ 44_ 8_ 48,numbers divisible by 4
533,65_ 47_ 55_ 13,odd numbers
533,10_ 74_ 22,even numbers
533,27_ 37_ 67,numbers that end in 7
533,14_ 47,numbers with two digits
6,43,no idea
6,22_ 96,even number
6,66_ 78,even number
6,25,no clue
6,72,no clue
86,33_ 3,numbers that are 3
86,75_ 4,numbers between 4 and 75
86,4_ 64_ 25_ 81,numbers between 4 and 100
86,53_ 47_ 41,odd numbers
86,91,odd numbers
265,3,odd numbers
265,49,numbers that end in 9
265,75_ 4,numbers with a 4 or 7 in them
265,8_ 64,even numbers or multiples of 4
265,15_ 39_ 35,multiples of 5 or 7
504,65_ 47_ 55_ 13,odd numbers
504,20_ 8_ 84_ 100,even numbers
504,72,multiples of 9
504,22_ 96,even numbers
504,43,odd numbers
296,81_ 9,Divisible by 9
296,25,Multiples of 5
296,72,Ends in 2
296,44,Even numbers
296,13,Odd mumbers
119,22_ 96,even numbers
119,10_ 74_ 22,even numbers
119,13,numbers around 13
119,14_ 47,numbers between 14 and 47
119,76_ 44_ 8_ 48,even numbers
208,3,odd numbers low numbers
208,93_ 43_ 83_ 53,numbers that end in 3
208,100,multiples of 100
208,49,odd numbers
208,59_ 49_ 99_ 69,numbers that end in 9
111,3_ 87,odd numbers
111,97_ 77_ 87_ 47,numbers ending in 7
111,81_ 25,odd numbers
111,50_ 2,number ending in 2 or 0
111,62,numbers in the sixties
420,75_ 4, 
420,84_ 56, 
420,3, 
420,4_ 64_ 25_ 81, 
420,43_ 4_ 91_ 9, 
387,59_ 49_ 99_ 69,odd numbers ending with 9
387,91,odd numbers divisible by 7
387,15_ 39_ 35,odd numbers
387,84_ 56,even numbers divisible by 4
387,43_ 4_ 91_ 9,2 digit odd numbers alternating with their respective first digit
99,100,even numbers up to 100
99,3,odd numbers ending in 3
99,53_ 47_ 41,odd numbers between 41 and 53
99,91,odd numbers ending in 1
99,43_ 4_ 91_ 9,numbers beginning with 4 and numbers beginning with 9
130,25,5''s
130,43,odds
130,76_ 44_ 8_ 48,evens
130,20_ 8_ 84_ 100,evens
130,72,x9
185,50_ 2,low numbers and high numbers
185,70_ 10_ 88_ 40,even numbers
185,97_ 77_ 87_ 47,odd numbers
185,25_ 17,numbers within the same 10s place
185,67,higher numbers
277,76_ 44_ 8_ 48,even
277,65_ 47_ 55_ 13,odds
277,20_ 8_ 84_ 100,even
277,81_ 9,odds
277,66_ 78,even
433,91,Numbers between 80 - 100
433,75_ 4,Numbers between 1 - 100
433,33_ 3,Numbers with a 3 in the ones place
433,59_ 49_ 99_ 69,Numbers with a 9 in the ones place
433,93_ 43_ 83_ 53,Numbers with a 3 in the ones place
222,67,anything is possible 1-100
222,18_ 45_ 72,I would assume the next number is lower than 72 but even and odd don''t matter.
222,68_ 20_ 35_ 92,the next number will be smalller and even and odd don''t matter.
222,3_ 87,a smaller number and anything 1-100
222,50_ 2,even possibly? but still hard to tell.
138,26,Even number
138,50_ 2,numbers divisible by 2 or 5?
138,67,odd numbers
138,55,numbers with a five
138,28_ 2,even numbers
131,91,odd numbers between 0 and 100
131,49,odd numbers between 0 and 100
131,3,odd numbers between 0 and 10
131,73_ 33,numbers ending in 3 between 10 and 100
131,53_ 47_ 41,odd numbers between 20 and 70
578,20_ 8_ 84_ 100,divisible by 4
578,43,odd number or prime numbers or sequencial numbers (tough to say with only one number)
578,25,odd numbers or divisible by 5 or sequencial (hard to say with only one number)
578,72,even numbers or divisible by 9 or sequencial numbers (hard to say with only one number)
578,10_ 74_ 22,even numbers
346,97_ 77_ 87_ 47,numbers ending in seven
346,26,numbers between 20 and 40
346,3_ 87,numbers divisible by three
346,1,I honestly don''t remember
346,81_ 25,perfect squares
581,18_ 45_ 72,Numbers divisible by 9
581,1,Any number
581,67,Any odd number
581,25_ 17,numbers with either 5 or 7 in the one''s place
581,55,Numbers divisible by 5
171,22_ 62_ 26_ 82,Even numbers
171,67,numbers ending in 7
171,50_ 2,Divisions of 50
171,26,numbers ending in 6
171,1,numbers under 10
459,73_ 33,Numbers ending in three
459,8_ 64,Multiples of eight
459,75_ 4,I don''t know
459,59_ 49_ 99_ 69,Numbers ending in nine
459,49,I don''t know
525,55,Odd numbers
525,1,Odd numbers
525,97_ 77_ 87_ 47,Odd numbers
525,28_ 2,Even numbers
525,25_ 17,Odd numbers
436,81_ 25,numbers between 81 and 25
436,25_ 17, 9
436,1,odd_ low
436,28_ 2,evens
436,55,odd
470,33_ 3,numbers ending in 3
470,75_ 4,numbers ending in 5 or 4
470,91,numbers ending in 1
470,59_ 49_ 99_ 69,numbers ending in 9
470,84_ 56,numbers ending in 4 or 6
314,33_ 3,Odd; between 21-47
314,73_ 33,Odd; between 63-83
314,84_ 56,Even; between 50-100
314,75_ 4,Any number between 44-80
314,91,Any number between 5-39
464,59_ 3,odd numbers
464,98_ 24_ 30_ 3,numbers between 3 and 100
464,4,even numbers
464,11,odd numbers
464,52_ 22_ 94,numbers between 50 and 100
76,70_ 10_ 88_ 40,don''t know
76,22_ 62_ 26_ 82,combinations with 2_ 6?
76,81_ 25,just those numbers
76,26,just 26
76,67,just 67
307,75_ 4,I had no idea
307,100,Numbers ending in 5 or 0
307,3,I don''t know
307,33_ 3,Numbers ending in 3
307,84_ 56,I don''t know
390,43_ 4_ 91_ 9,Numbers ending in 3_4_1_9
390,15_ 39_ 35,Numbers ending in 9 or 5
390,33_ 3,Numbers ending in 3
390,4_ 64_ 25_ 81,Numbers ending in 4_5_1
390,91,Numbers ending in 1
92,27_ 37_ 67,has 7 last digit
92,5_ 65,don''t know
92,43,don''t know
92,22_ 96,don''t know
92,14_ 47,don''t know
149,49,numbers between 1 and 50
149,8_ 64,even numbers
149,73_ 33,odd numbers
149,53_ 47_ 41,numbers between 40 and 60
149,15_ 39_ 35,numbers between 10 and 40
461,27_ 37_ 67,numbers that end in 7
461,5_ 65,multiples of 5
461,81_ 9,odd numbers
461,76_ 44_ 8_ 48,even numbers
461,22_ 96,even numbers
281,18_ 45_ 72,alternating even and odd
281,68_ 20_ 35_ 92,pattern of even and odd
281,50_ 2,even
281,55,odd
281,97_ 77_ 87_ 47,odd
289,14_ 47,odd numbers
289,43,odd numbers
289,20_ 8_ 84_ 100,even numbers
289,81_ 9,odd numbers
289,13,odd numbers
176,49,Odd numbers
176,73_ 33,Numbers that end with 3.
176,59_ 49_ 99_ 69,Numbers that end with 9.
176,8_ 64,even numbers
176,53_ 47_ 41,odd numbers.
416,16_ 82_ 28,Even numbers and numbers with 8
416,2_ 8,even numbers
416,64,even numbers
416,52_ 22_ 94,even numbers
416,4,even numbers
508,93_ 43_ 83_ 53,numbers ending in 3
508,3,any number
508,33_ 3,numbers ending in 3
508,100,any number
508,15_ 39_ 35,pattern: +24_ -4_ +24_ -4
103,97_ 77_ 87_ 47,Odd numbers with a seven in them
103,22_ 62_ 26_ 82,even numbers with 2_ 6 or 8
103,1,all numbers 
103,62,all even numbers
103,18_ 45_ 72,Add 27 to the previous number
221,5_ 65,numbers divisible by 5
221,81_ 9,numbers divisible by 9
221,13,odd numbers
221,65_ 47_ 55_ 13,odd numbers
221,27_ 37_ 67,numbers ending in 7
200,70_ 10_ 88_ 40,EVEN NUMBERS_ ENDS IN 8
200,26,COULD BE ANY
200,62,COULD BE ANY_ MAYBE EVEN_ END IN 2 START WITH 6?
200,97_ 77_ 87_ 47,END IN 7
200,67,ANY
93,4_ 64_ 25_ 81,numbers between 4 and 81
93,53_ 47_ 41,number minus 6
93,91,not enough info
93,100,not enough info
93,43_ 4_ 91_ 9,next 2 numbers are 2-digit number then the first digit of that number
327,8_ 80_ 48,Multiple of 8
327,23_ 62_ 98,Between 23 and 98
327,64,Even
327,59_ 3,Between 3 and 59
327,2_ 8,Even
181,10_ 3,Numbers between 1 and 15
181,61,Numbers between 50 and 70
181,33_ 5_ 19,Odd numbers between 1 and 39
181,96_ 90_ 6_ 42,Even numbers
181,70_ 15,Multiples of 5
182,55_ 60_ 25_ 100,even numbers
182,64,odd numbers
182,52_ 22_ 94,between 22 and 94
182,16_ 82_ 28,between 16 and 82
182,23_ 62_ 98,between 23 and 98
161,10_ 3,Numbers between 10 and 1
161,63_ 43,Numbers ending with the number 3
161,70_ 15,Numbers ending with 5 or 0
161,55_ 3,Numbers between 1 and 60
161,9_ 65_ 28,Numbers between 1 and 70
51,98_ 24_ 30_ 3,Number between 0-30 and numbers between 60-99
51,23_ 62_ 98,Numbers between 0-100
51,51,Odd numbers
51,14,numbers between 0-20
51,24_ 35,Numbers between 10-50
256,37_ 57,numbers ending in 7
256,18,even numbers
256,28_ 98,numbers ending in 8
256,5,odd numbers
256,5_ 51,numbers containing a 5
267,24_ 35,numbers between 35 and 45
267,16_ 82_ 28,numbers between 35 and 45
267,59_ 3,even numbers
267,8_ 80_ 48,numbers between 35 and 45
267,11,even numbers
456,52_ 22_ 94,Even numbers
456,8_ 80_ 48,Numbers with an 8 in them
456,2_ 8,Even ascending numbers
456,23_ 62_ 98,Ascending numbers
456,64,square roots or even numbers
403,38_ 18_ 3,Random numbering_ no relation
403,16_ 82_ 28,Even Numbers
403,24_ 35,Eleven is added to each number to get the next one in the sequence
403,23_ 62_ 98,Each number is one less than a factor of 3
403,4,Each number is a multiple of 4
248,48_ 30_ 78,even numbers
248,100_ 1_ 16,numbers between 40-100
248,84,numbers above 70
248,95,numbers above 50
248,12,even numbers
212,96_ 90_ 6_ 42,even numbers
212,55_ 3,odd numbers
212,48_ 63_ 53,any number
212,2_ 47,any number
212,30,any number
78,63_ 43,I think this set goes by tens or 3 threes
78,81_ 71_ 21_ 31,this one here can go by 10 
78,61,this set here can go either way or maybe double the amount
78,55_ 3,this list may go 5 fives and threes
78,15,this one may go by 15 or by 5
460,48_ 63_ 53,I thought this program might allow any sets of numbers_ no set limits.
460,15,I thought this pattern might include numbers that were either in increments of 5s or odd numbers.
460,63_ 43,I believe this program put out numbers that ended in 3.
460,81_ 71_ 21_ 31,I believe this program put out numbers that ended in 1.
460,55_ 3,I think this program put out numbers that were odd.
466,100_ 1_ 16,even numbers
466,10_ 50_ 100,10_ 20_ 30_ 40_ 50_ 
466,54_ 14_ 94_ 34,numbers ending with a 4
466,66_ 93_ 51,odd numbers
466,91_ 25_ 61_ 31,numbers ending with a 1 and multiples of 5.
318,38_ 18_ 3,all numbers under 50
318,16_ 82_ 28,even numbers between 15 and 60
318,59_ 3,odd numbers between 1 and 77
318,8_ 80_ 48,numbers divisible by 8
318,11,numbers divisible by 11
426,15,Odd numbers
426,63_ 43,Odd numbers_ numbers that end in three
426,33_ 5_ 19,Odd numbers_ numbers that end in an odd number
426,96_ 90_ 6_ 42,even numbers
426,81_ 71_ 21_ 31,Numbers ending in 1_ odd numbers
562,18,Even numbers ending in 8
562,49_ 76_ 13,numbers adding to 13
562,81_ 87_ 27,Numbers ending in 1 or 7
562,14_ 98_ 91,numbers beginning with 1 (teens) or 9
562,63_ 23_ 43,Numbers ending in 3
88,84,even
88,66_ 93_ 51,divide by 3
88,10_ 50_ 100,multiples of 10
88,70_ 88_ 7_ 22,either start witha 7 or double digit equal
88,100_ 1_ 16,start with 1
526,5_ 77_ 89,odd numbers that are up to two digits
526,95,a multiple of 5 but two digits
526,84_ 94_ 34,a double digit number that ends with 4
526,70_ 88_ 7_ 22,a single or double digit number where single digit is prime and double is even
526,66_ 93_ 51,double digit number divisible by 3 or 6
355,15_ 17_ 21_ 5,numbers between 5 and 21
355,30,even numbers
355,70_ 15,numbers between 10 and 80
355,73_ 33_ 3,odd numbers
355,63_ 43,od numbers
485,16_ 82_ 28,something to do with 8
485,23_ 62_ 98,both even and odd from 23 to 98
485,8_ 80_ 48,all showing 8
485,52_ 22_ 94,even numbers from 22 to 94
485,98_ 24_ 30_ 3,higher even to lower odd 
538,61,Prime numbers
538,15_ 17_ 21_ 5,Odd numbers
538,15,Multiples of 15
538,30,Multiples of 5
538,2_ 47,Numbers ending in 2 and 7
244,10_ 3,Increments of 7
244,61,Anything
244,9_ 65_ 28,Pattern going from low to high to low
244,81_ 71_ 21_ 31,Numbers that end in 1
244,30,Anything
602,10_ 3,Numbers less than 11
602,61,Odd Numbers
602,63_ 43,Numbers that end with 3 separated by 20 
602,73_ 33_ 3,Numbers that end with 3
602,81_ 71_ 21_ 31,Numbers that end with 1
517,73_ 33_ 3,numbers with a 3
517,48_ 63_ 53,numbers between 40 and 70
517,2_ 47,number between 1 and 50
517,10_ 3,numbers between 1 and 20
517,15_ 17_ 21_ 5,numbers between 1 and 35
549,9_ 65_ 28,numbers between 9 and 65
549,15_ 17_ 21_ 5,odd numbers
549,55_ 3,odd numbers
549,33_ 5_ 19,odd numbers
549,63_ 43,odd numbers
178,90_ 45,multiples of 5
178,100_ 1_ 16,numbers between 1 and 100
178,12,even numbers
178,66_ 93_ 51,numbers between 51-93
178,84,even numbers 
502,38_ 18_ 3,Numbers ending with a 3 or ending in an 8
502,16_ 82_ 28,Even numbers
502,11,Odd numbers
502,4,Even numbers
502,55_ 60_ 25_ 100,Numbers divisible by 5
356,14_ 98_ 91,divisible by 7
356,63_ 23_ 43,numbers ending in 3
356,94_ 70,even
356,6_ 74,even
356,39_ 60_ 12_ 45,divisible by 3
453,10_ 3,add or subtract 7 
453,15_ 17_ 21_ 5,odd numbers
453,48_ 63_ 53,numbers minus or plus 5
453,96_ 90_ 6_ 42,even numbers
453,55_ 3,odd numbers
449,11_ 41_ 38_ 92,Numbers witha 1_ 8_ or 2 in the last digit.
449,10_ 50_ 100,Even numbers.
449,70_ 88_ 7_ 22,Numbers with a 0_ 8_ 7_ or 2 as the last digit.
449,84_ 94_ 34,Even numbers.
449,72_ 92_ 82_ 42,Even numbers.
236,5_ 51,A range between 5-51
236,94_ 70,Higher digit numbers (anything above 70+)
236,6_ 74,A range of Single Digit and Double Digit Numbers
236,18,18 only
236,37_ 57,A rounded range of 30-60
471,96_ 90_ 6_ 42,Numbers divisible by 6
471,10_ 3,Numbers between 10 and 3
471,55_ 3,Odd numbers
471,2_ 47,Numbers between 2 and 47
471,30,Numbers ending in 0
16,91_ 25_ 61_ 31,odd numbers between 25 and 91
16,95,numbers ending in 5
16,90_ 45,multiples of 5
16,10_ 50_ 100,numbers ending in 0
16,66_ 93_ 51,odd numbers between 51 and 66
67,66_ 93_ 51,Divisible by 3
67,54_ 14_ 94_ 34,Ends in 4
67,84_ 94_ 34,Ends in 4
67,91_ 25_ 61_ 31,Odd numbers
67,84,No discernible pattern (however at the time I was still a little confused by the HIT and made a guess at a pattern_ that this would be all even numbers)
133,66_ 93_ 51,Numbers divisible by 3
133,91_ 25_ 61_ 31,Numbers ending in 1 or 5
133,84_ 94_ 34,Numbers ending in 4 (let me add that I missed 24 in this set_ my mistake)
133,90_ 45,Numbers divisible by 9
133,95,No clue_ I guessed numbers with either a 9 or 5 in them.
368,73_ 33_ 3,all numbers ending in 3 including 3
368,33_ 5_ 19,this program accepts numbers that end in odd
368,30,this program accepts even numbers
368,63_ 43,this program accepts numbers ending in 3
368,10_ 3,these program accepts numbers between 10_ 3
243,4,single digit numbers
243,16_ 82_ 28,even numbers
243,51,numbers between 41 and 61
243,23_ 62_ 98,all numbers
243,55_ 60_ 25_ 100,multiples of 5
325,14_ 98_ 91,numbers between 14 and 98
325,1_ 8_ 27,numbers that are bigger then the previos number that is listed.
325,63_ 23_ 43,Numbers that end in 3
325,39_ 60_ 12_ 45,numbers between 12 and 60
325,5,Numbers that are divisible by 5
42,5_ 51,odd numbers containing 5 or ending in 1
42,94_ 70,even numbers less than 70
42,79_ 59,numbers ending in nine
42,18,even numbers
42,39_ 60_ 12_ 45,numbers less than 45
132,72_ 92_ 82_ 42,Numbers that end in 2
132,91_ 25_ 61_ 31,Numbers between 25 and 91
132,84_ 94_ 34,Numbers ending in 4
132,90_ 45,Numbers by 5
132,12,Even
424,84,"no pattern can be discerned from a single number.  at this point of the study_ I decided that any other number was ""possible"" and hence ""likely"""
424,48_ 30_ 78,these are multiples of 3_ so any number of the pattern 3*x
424,54_ 14_ 94_ 34,these follow the pattern 10*x + 4
424,70_ 88_ 7_ 22,this could conceivable be of the pattern 7*x_ 11*x_ 7*x_ 11*x_ etc.  arguably_ this could be a random occurence when in fact there is no pattern.
424,91_ 25_ 61_ 31,these numbers follow the pattern 3*x + 1
226,48_ 30_ 78,even numbers
226,5_ 77_ 89,odd numbers
226,84,only the number 84
226,10_ 50_ 100,multiples of 10
226,54_ 14_ 94_ 34,numbers that end in 4
569,90_ 45,I wasn''t really sure. Half of the previous number?
569,95,odds_ multiples of 5s
569,91_ 25_ 61_ 31,numbers ending in 1 or 5
569,12,evens
569,54_ 14_ 94_ 34,ending with 4
323,81_ 87_ 27,Numbers with 7''s or 8''s in them
323,1_ 8_ 27,Numbers under 30
323,5,Numbers divisible by 5
323,49_ 76_ 13,Numbers with a second digit divisible by 3
323,39_ 60_ 12_ 45,Completely random sample
94,55_ 3,odd numbers
94,10_ 3,numbers less than 11
94,15_ 17_ 21_ 5,odd numbers less than 30
94,96_ 90_ 6_ 42,any even number
94,30,unknown
172,14_ 98_ 91,34_38_44
172,81_ 87_ 27,37
172,94_ 70,34_40
172,1_ 8_ 27,31_37_38_41
172,63_ 23_ 43,43
369,5_ 77_ 89,Odd numbers
369,72_ 92_ 82_ 42,Numbers that end with a two
369,10_ 50_ 100,Numbers that end in 0
369,11_ 41_ 38_ 92,Numbers between 11 and 92
369,66_ 93_ 51,Numbers between 51 and 93
91,61,Ends in 1
91,33_ 5_ 19,Odd numbers
91,15_ 17_ 21_ 5,Odd numbers
91,2_ 47,Odd and even numbers
91,63_ 43,Ends in 3
284,15_ 17_ 21_ 5,odd lower numbers
284,55_ 3,this one is tough for me. maybe odd numbers?
284,33_ 5_ 19,odd lower numbers?
284,2_ 47,low then high then low
284,48_ 63_ 53,small range_ goes up then down then up
490,9_ 65_ 28,all numbers
490,48_ 63_ 53,between 40 and 70
490,55_ 3,odd numbers
490,63_ 43,ending in 3
490,30,multiples of 10
117,12,numbers that end in 2
117,54_ 14_ 94_ 34,numbers that end in 4
117,72_ 92_ 82_ 42,numbers that end in 2
117,11_ 41_ 38_ 92,numbers within 2 of tens.
117,5_ 77_ 89,odd numbers
80,18,even numbers
80,94_ 70,even numbers
